"id","formula_masters_id","equipment_machine_id","equipment_machine_unit","tag_name","em_qty","topic_number","users_id","record_status","created_at","updated_at"
"180","MF2212013","EM001","-","","1","2","","1","2022-12-09 08:46:40","2022-12-09 09:17:40"
"181","MF2212013","LT001","-","","1","2","","1","2022-12-09 09:17:18","2022-12-09 09:17:40"
"182","MF2212013","LT002","-","","10","2","","1","2022-12-09 09:17:20","2022-12-09 09:17:45"
"183","MF2212014","EM001","-","","1","2","","1","2022-12-10 08:23:25","2022-12-12 02:46:56"
"184","MF2212014","LT001","-","","1","2","","1","2022-12-10 08:23:27","2022-12-12 02:46:57"
"185","MF2212014","LT002","-","","1","2","","1","2022-12-10 08:23:29","2022-12-12 02:46:58"
"186","MF2212014","MC001","-","","1","2","","1","2022-12-10 08:23:31","2022-12-12 02:46:59"
"187","MF2212014","MC004","-","","1","2","","1","2022-12-10 08:23:56","2022-12-12 02:47:00"
"188","MF2212014","MC003","-","","4","2","","1","2022-12-10 08:24:06","2022-12-12 06:06:22"
"189","MF2212014","MC002","-","","1","2","","1","2022-12-10 08:24:24","2022-12-12 02:47:02"
"190","MF2212015","MC001","-","","1","2","","1","2022-12-10 08:56:05","2022-12-10 08:57:47"
"191","MF2212015","MC002","-","","1","2","","1","2022-12-10 08:56:08","2022-12-10 08:57:49"
"192","MF2212015","MC003","-","","2","2","","1","2022-12-10 08:56:19","2022-12-10 08:57:53"
"193","MF2212015","MC004","-","","2","2","","1","2022-12-10 08:56:32","2022-12-10 08:58:00"
"194","MF2212015","EM001","-","","1","2","","1","2022-12-10 08:57:02","2022-12-10 08:58:01"
"195","MF2212015","MC005","-","","0","8","","1","2022-12-10 09:34:55","2022-12-10 09:34:55"
"196","MF2212015","MC006","-","","0","8","","1","2022-12-10 09:35:01","2022-12-10 09:35:01"
"197","MF2212015","MC007","-","","0","8","","1","2022-12-10 09:35:06","2022-12-10 09:35:06"
"198","MF2212015","MC008","-","","0","8","","1","2022-12-10 09:35:08","2022-12-10 09:35:08"
"199","MF2212015","MC009","-","","0","8","","1","2022-12-10 09:35:11","2022-12-10 09:35:11"
"200","MF2212016","EM001","-","","1","2","","1","2022-12-10 09:40:58","2022-12-10 09:41:23"
"201","MF2212016","MC004","-","","2","2","","1","2022-12-10 09:41:00","2022-12-10 09:41:21"
"202","MF2212016","MC003","-","","2","2","","1","2022-12-10 09:41:05","2022-12-10 09:41:41"
"203","MF2212016","MC001","-","","1","2","","1","2022-12-10 09:41:06","2022-12-10 09:41:47"
"204","MF2212016","MC002","-","","1","2","","1","2022-12-10 09:41:11","2022-12-10 09:42:03"
"205","MF2212017","MC001","-","","1","2","","1","2022-12-12 02:15:05","2022-12-12 02:15:55"
"206","MF2212017","MC002","-","","1","2","","1","2022-12-12 02:15:09","2022-12-12 02:15:58"
"207","MF2212017","MC003","-","","2","2","","1","2022-12-12 02:15:17","2022-12-12 02:16:00"
"208","MF2212017","MC004","-","","1","2","","1","2022-12-12 02:15:51","2022-12-12 02:16:05"
"209","MF2212017","EM001","-","","1","2","","1","2022-12-12 02:15:53","2022-12-12 02:16:06"
"210","MF2212017","MC005","-","","0","8","","1","2022-12-12 02:55:50","2022-12-12 02:55:50"
"211","MF2212017","MC006","-","","0","8","","1","2022-12-12 02:55:53","2022-12-12 02:55:53"
"212","MF2212017","MC007","-","","0","8","","1","2022-12-12 02:55:56","2022-12-12 02:55:56"
"213","MF2212017","MC008","-","","0","8","","1","2022-12-12 02:55:58","2022-12-12 02:55:58"
"214","MF2212017","MC009","-","","0","8","","1","2022-12-12 02:56:00","2022-12-12 02:56:00"
"215","MF2212016","LT002","-","","0","2","","1","2022-12-12 03:38:36","2022-12-12 03:38:36"
"216","MF2212016","LT001","-","","0","2","","1","2022-12-12 03:38:40","2022-12-12 03:38:40"
"217","MF2212017","LT002","-","","0","2","","1","2022-12-12 03:39:50","2022-12-12 03:39:50"
"218","MF2212017","LT001","-","","0","2","","1","2022-12-12 03:39:51","2022-12-12 03:39:51"
"219","MF2212019","MC001","-","","1","2","","1","2022-12-12 03:42:42","2022-12-12 03:49:52"
"220","MF2212019","MC002","-","","1","2","","1","2022-12-12 03:42:59","2022-12-12 03:49:53"
"221","MF2212019","MC003","-","","1","2","","1","2022-12-12 03:43:09","2022-12-12 03:49:54"
"222","MF2212019","MC004","-","","1","2","","1","2022-12-12 03:43:13","2022-12-12 03:49:55"
"223","MF2212019","EM001","-","","1","2","","1","2022-12-12 03:43:14","2022-12-12 03:49:58"
"224","MF2212019","LT001","-","","1","2","","1","2022-12-12 03:43:16","2022-12-12 03:50:00"
"225","MF2212019","LT002","-","","1","2","","1","2022-12-12 03:43:20","2022-12-12 03:50:01"
"226","MF2212016","MC009","-","","0","8","","1","2022-12-12 03:48:07","2022-12-12 03:48:07"
"227","MF2212016","MC008","-","","0","8","","1","2022-12-12 03:48:10","2022-12-12 03:48:10"
"228","MF2212016","MC007","-","","0","8","","1","2022-12-12 03:48:17","2022-12-12 03:48:17"
"229","MF2212016","MC006","-","","0","8","","1","2022-12-12 03:48:22","2022-12-12 03:48:22"
"230","MF2212016","MC005","-","","0","8","","1","2022-12-12 03:48:31","2022-12-12 03:48:31"
"231","MF2212020","EM001","-","","1","2","","1","2022-12-12 03:55:14","2024-01-18 08:17:03"
"232","MF2212020","LT001","-","","1","2","","1","2022-12-12 03:55:15","2024-01-18 08:17:04"
"233","MF2212020","LT002","-","","1","2","","1","2022-12-12 03:55:20","2024-01-18 08:17:05"
"234","MF2212020","MC001","-","","1","2","","1","2022-12-12 03:55:22","2024-01-18 08:17:06"
"235","MF2212020","MC002","-","","1","2","","1","2022-12-12 03:55:24","2024-01-18 08:17:07"
"238","MF2212019","MC005","-","","0","8","","1","2022-12-12 04:09:40","2022-12-12 04:09:40"
"239","MF2212019","MC006","-","","0","8","","1","2022-12-12 04:09:44","2022-12-12 04:09:44"
