"id","formula_masters_id","topic_number","topic_txt","users_id","created_at","updated_at"
"53","MF2212008","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-07 04:56:34","2022-12-07 04:56:34"
"54","MF2212008","12","-","1","2022-12-07 04:56:44","2022-12-07 04:56:44"
"55","MF2212009","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-08 04:20:47","2022-12-08 04:20:47"
"56","MF2212009","6","ขวดอคิลิก(สีชมพูอ่อน)","1","2022-12-08 04:20:57","2022-12-08 04:20:57"
"57","MF2212009","9","9.1	นำของเหลวสีขาว (ไม่มีสี ไม่มีกลิ่น) บรรจุลงขวดอคิลิก(สีชมพูอ่อน) ปริมาณ 30 กรัม/ขวด\n9.2	นำชุดหัวปั๊ม(สีเงิน) หมุนปิดกับขวดอคิลิก(สีชมพูอ่อน)ให้แน่นสนิท\n9.3	นำฝาครอบอคิลิก(สีชมพูอ่อน) กดครอบเข้ากับขวดอคิลิก(สีชมพูอ่อน)\n9.4	บรรจุลงกล่อง(สีชมพู)โดยให้หันด้านหน้าขวดไปทางเดียวกับด้านหน้ากล่อง\n9.5	ชริ้งค์ฟิล์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.6	หลังชริ้งค์ฟิล์มที่กล่องเสร็จ ให้ติดฉลาก สคบ.ที่ว่างด้านข้างกล่อง\n9.7	บรรจุลงลังลูกค้า จำนวน 36 ชิ้น/ลัง","1","2022-12-08 04:21:49","2022-12-08 04:21:49"
"58","MF2212009","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-08 04:22:01","2022-12-08 04:22:01"
"59","MF2212009","12","-","1","2022-12-08 04:22:39","2022-12-08 04:22:39"
"60","MF2212010","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-09 03:10:10","2022-12-09 03:10:10"
"61","MF2212010","6","ขวด opal glass, ชุดดรอปเปอร์","1","2022-12-09 03:10:21","2022-12-09 03:10:21"
"62","MF2212010","9","9.1 บรรจุเนื้อเซรั่มใสลงขวดแก้วสีขาวสกรีนสีเทาหม่นน้ำตาลขนาด 8 มล. ปริมาณ 8 กรัม/ขวด\n9.2 ประกอบจุกยางสีขาว วาล์วสีขาว แท่งแก้วใส เข้าด้วยกัน และหมุนปิดให้แน่นสนิท\n9.3 บรรจุลงกล่องสีขาว-ชมพู โดยให้หันด้านหน้าขวดไปทางเดียวกับด้านหน้ากล่อง\n9.4 บรรจุลงลังลูกค้า แล้วนำบับเบิ้ลวางปิดหน้าลัง ก่อนปิดลัง","1","2022-12-09 03:28:39","2022-12-12 02:46:14"
"63","MF2212010","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-09 03:30:08","2022-12-09 03:30:08"
"64","MF2212010","12","-","1","2022-12-09 03:30:13","2022-12-09 03:30:13"
"65","MF2212012","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-09 07:45:47","2022-12-09 07:45:47"
"66","MF2212012","6","ขวดพร้อมสกรีน (สีใส) + ชุดหัวสเปรย์ (สีดำ)","1","2022-12-09 07:45:54","2022-12-09 07:45:54"
"67","MF2212012","9","บรรจุปริมาณ 2.82 กรัม ลงในขวด ปิดฝาให้สนิท","1","2022-12-09 07:52:14","2022-12-09 07:52:14"
"68","MF2212012","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-09 07:54:52","2022-12-09 07:54:52"
"69","MF2212012","12","-","1","2022-12-09 07:54:59","2022-12-09 07:54:59"
"70","MF2212015","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-10 09:16:50","2022-12-10 09:16:50"
"71","MF2212015","6","opal glass","1","2022-12-10 09:17:13","2022-12-10 09:17:13"
